銘柄コード,銘柄,市場,始値,高値,安値,取引値,最低購入金額,前日比(円),前日比(%),前日終値,出来高,売買代金(千円),時価総額(百万円),発行済株式数,配当利回り(%),1株配当(円),株価収益率(PER),1株利益(円),純資産倍率,1株純資産(円),単元株数,年初来高値,年初来安値,信用買残,信用売残,貸借倍率,業種コード,業種名,MACD当日,MACD前日,SIGNAL当日,SIGNAL前日,ROC当日,ROC前日,RSI当日,RSI前日,12日当日,12日前日
5002,昭和シェル石油(株),東証1部,1493,1519,1481,1512,151200,7,0.0047,1505,1453000,2179214,569798,376850400,2.51,38,10.95,138.07,2.5,605.92,100,1713,1010,332800,241600,1.38,9,石油石炭,-81,-78,-78.51431961,-74.68257735,0.064590542,0.063294759,38.46153846,38.58267717,1548.823651,1556.392288
7202,いすゞ自動車(株),東証1部,1724,1756,1663,1743.5,174350,-20.5,-0.0116,1764,4769400,8249062,1479225,848422669,1.84,32,12.6,138.41,1.51,1155.98,100,2002,1320,341000,484200,0.7,17,輸送用機器,-95,-90,-96.78501402,-93.98334891,0.048964142,0.049856408,23.39181287,27.14932127,1823.823735,1840.809046
